%prun bulk_NN()

         105169 function calls (101140 primitive calls) in 0.083 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphSetOutputHandleShapesAndTypes_wrapper}
      119    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       64    0.000    0.000    0.000    0.000 op_callbacks.py:118(should_invoke_op_callbacks)
       50    0.000    0.000    0.000    0.000 tracking.py:80(__setattr__)
      127    0.000    0.000    0.000    0.000 ops.py:1924(<genexpr>)
       12    0.000    0.000    0.001    0.000 base_layer.py:2884(_init_call_fn_args)
       75    0.000    0.000    0.000    0.000 type_checkers.py:129(CheckValue)
       64    0.000    0.000    0.000    0.000 python_message.py:409(MakeMessageMapDefault)
      192    0.000    0.000    0.000    0.000 ops.py:2376(type)
      158    0.000    0.000    0.000    0.000 tape.py:150(stop_recording)
       66    0.000    0.000    0.001    0.000 tf_stack.py:131(extract_stack)
       18    0.000    0.000    0.012    0.001 func_graph.py:644(_capture_helper)
      220    0.000    0.000    0.000    0.000 containers.py:197(__init__)
       59    0.000    0.000    0.000    0.000 nest.py:496(_pack_sequence_as)
      563    0.000    0.000    0.000    0.000 encoder.py:82(_VarintSize)
      103    0.000    0.000    0.000    0.000 base.py:577(_maybe_initialize_trackable)
    93/46    0.000    0.000    0.001    0.000 tracking.py:440(wrapped)
        9    0.000    0.000    0.020    0.002 base_layer.py:2614(_maybe_build)
      191    0.000    0.000    0.000    0.000 ops.py:5094(_distribution_strategy_stack)
      219    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC909CC810}
      247    0.000    0.000    0.000    0.000 inspect.py:2821(<genexpr>)
       64    0.000    0.000    0.000    0.000 lock_util.py:74(group)
       91    0.000    0.000    0.001    0.000 python_message.py:727(setter)
       36    0.000    0.000    0.000    0.000 ops.py:4288(colocate_with)
       81    0.000    0.000    0.000    0.000 python_message.py:1532(__init__)
       30    0.000    0.000    0.000    0.000 distribution_strategy_context.py:79(_get_per_thread_mode)
      163    0.000    0.000    0.000    0.000 layer_utils.py:43(has_weights)
       42    0.000    0.000    0.000    0.000 ops.py:1160(shape)
      111    0.000    0.000    0.000    0.000 encoder.py:464(EncodeField)
      196    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       18    0.000    0.000    0.000    0.000 tape.py:104(variable_accessed)
       64    0.000    0.000    0.000    0.000 ops.py:4603(_control_dependencies_for_inputs)
       64    0.000    0.000    0.000    0.000 lock_util.py:106(_another_group_active)
       43    0.000    0.000    0.000    0.000 tensor_shape.py:1198(<listcomp>)
      272    0.000    0.000    0.000    0.000 object_identity.py:125(__init__)
       64    0.000    0.000    0.000    0.000 ops.py:5059(_snapshot_colocation_stack_metadata)
      192    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       24    0.000    0.000    0.018    0.001 resource_variable_ops.py:1419(__init__)
       64    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationNumOutputs}
      177    0.000    0.000    0.000    0.000 encoder.py:148(FieldSize)
      136    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequence}
       21    0.000    0.000    0.000    0.000 base.py:854(_handle_deferred_dependencies)
      388    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        9    0.000    0.000    0.016    0.002 nn_ops.py:3307(bias_add)
       18    0.000    0.000    0.000    0.000 ops.py:5601(_get_outer_context_and_inner_device_stack)
