model = bulk_NN()
%prun predict(model,x_tst)

         147915 function calls (143274 primitive calls) in 0.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 conversion.py:129(is_whitelisted)
       89    0.000    0.000    0.000    0.000 ops.py:3800(_get_operation_by_name_unsafe)
       14    0.000    0.000    0.000    0.000 base.py:800(_track_trackable)
      116    0.000    0.000    0.001    0.000 nest.py:536(pack_sequence_as)
       33    0.000    0.000    0.000    0.000 function.py:2513(canonicalize_function_inputs)
       95    0.000    0.000    0.000    0.000 ops.py:5019(_snapshot_device_function_stack_metadata)
       36    0.000    0.000    0.000    0.000 ops.py:4288(colocate_with)
       44    0.000    0.000    0.000    0.000 op_def_library.py:38(_Attr)
      178    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC909CC810}
       55    0.000    0.000    0.000    0.000 base.py:453(_method_wrapper)
      112    0.000    0.000    0.000    0.000 context.py:239(pop)
       69    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.FlattenForData}
        7    0.000    0.000    0.000    0.000 inspect.py:2124(_signature_from_function)
       79    0.000    0.000    0.000    0.000 ops.py:6498(__exit__)
       20    0.000    0.000    0.020    0.001 resource_variable_ops.py:643(_read_variable_op)
      103    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_DeleteBuffer}
       32    0.000    0.000    0.000    0.000 def_function.py:91(_get_counter)
    37/29    0.000    0.000    0.000    0.000 base_layer.py:2756(__setattr__)
       77    0.000    0.000    0.000    0.000 errors_impl.py:64(__init__)
      326    0.000    0.000    0.000    0.000 ops.py:2381(graph)
       95    0.000    0.000    0.000    0.000 control_flow_util.py:82(IsInWhileLoop)
       32    0.000    0.000    0.001    0.000 nest.py:1061(map_structure_up_to)
      103    0.000    0.000    0.000    0.000 ops.py:216(uid)
       90    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsEmpty}
       97    0.000    0.000    0.001    0.000 type_spec.py:301(__hash__)
      176    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
      125    0.000    0.000    0.000    0.000 options.py:74(get_fn)
      190    0.000    0.000    0.000    0.000 lock_util.py:107(<genexpr>)
       59    0.000    0.000    0.000    0.000 op_def_library.py:84(_Flatten)
       59    0.000    0.000    0.000    0.000 func_graph.py:1055(device_stack_has_callable)
      191    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.013    0.003 function.py:1460(__init__)
       88    0.000    0.000    0.000    0.000 op_def_library.py:64(_IsListParameter)
      200    0.000    0.000    0.000    0.000 traceable_stack.py:127(__len__)
      178    0.000    0.000    0.000    0.000 ops.py:4086(_name_stack)
       79    0.000    0.000    0.000    0.000 ops.py:6439(__init__)
       69    0.000    0.000    0.000    0.000 base_layer.py:2847(_flatten_layers)
  213/203    0.000    0.000    0.000    0.000 nest.py:720(_yield_flat_up_to)
       95    0.000    0.000    0.001    0.000 lock_util.py:126(__exit__)
    32/24    0.000    0.000    0.000    0.000 encoder.py:299(RepeatedFieldSize)
      183    0.000    0.000    0.000    0.000 ops.py:3472(<genexpr>)
       59    0.000    0.000    0.000    0.000 op_def_library.py:87(<listcomp>)
       23    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphGetTensorShapeHelper}
       91    0.000    0.000    0.000    0.000 nest.py:203(_yield_sorted_items)
      116    0.000    0.000    0.000    0.000 ops.py:402(graph)
      287    0.000    0.000    0.000    0.000 encoder.py:96(_SignedVarintSize)
       88    0.000    0.000    0.000    0.000 op_def_library.py:510(<listcomp>)
       95    0.000    0.000    0.000    0.000 auto_control_deps.py:136(collective_manager_ids_from_op)
       22    0.000    0.000    0.000    0.000 resource_variable_ops.py:329(variable_accessed)
        4    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FunctionToFunctionDef}
      292    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       88    0.000    0.000    0.000    0.000 ops.py:3823(_get_operation_by_tf_operation)
       63    0.000    0.000    0.000    0.000 context.py:2001(graph_mode)
       35    0.000    0.000    0.000    0.000 function.py:2008(captured_inputs)
      190    0.000    0.000    0.000    0.000 traceable_stack.py:123(peek_traceable_objs)
      130    0.000    0.000    0.000    0.000 ops.py:3015(_variable_creator_stack)
       95    0.000    0.000    0.000    0.000 context.py:1204(op_callbacks)
        9    0.000    0.000    0.016    0.002 gen_math_ops.py:5590(mat_mul)
        9    0.000    0.000    0.037    0.004 core.py:30(dense)
       10    0.000    0.000    0.000    0.000 function.py:2388(__init__)
      126    0.000    0.000    0.000    0.000 nest.py:954(<genexpr>)
        9    0.000    0.000    0.016    0.002 nn_ops.py:3307(bias_add)
    35/31    0.000    0.000    0.000    0.000 nest.py:461(_packed_nest_with_indices)
      154    0.000    0.000    0.000    0.000 op_def_registry.py:34(get)
        7    0.000    0.000    0.000    0.000 inspect.py:1102(getfullargspec)
      186    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       95    0.000    0.000    0.000    0.000 threading.py:261(_is_owned)
      258    0.000    0.000    0.000    0.000 ops.py:392(op)
       63    0.000    0.000    0.000    0.000 ops.py:3886(as_default)
        4    0.000    0.000    0.000    0.000 function.py:1562(_initialize_function_spec)
      221    0.000    0.000    0.000    0.000 ops.py:3354(building_function)
       59    0.000    0.000    0.000    0.000 ops.py:6051(_get_graph_from_inputs)
       37    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetRecordOperation}
      198    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      284    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       42    0.000    0.000    0.000    0.000 base.py:577(_maybe_initialize_trackable)
       32    0.000    0.000    0.000    0.000 distribution_strategy_context.py:79(_get_per_thread_mode)
        1    0.000    0.000    0.181    0.181 training.py:126(_method_wrapper)
       95    0.000    0.000    0.000    0.000 registry.py:74(list)
        4    0.000    0.000    0.088    0.022 function.py:3047(_create_graph_function)
       95    0.000    0.000    0.001    0.000 lock_util.py:123(__enter__)
       18    0.000    0.000    0.020    0.001 resource_variable_ops.py:550(value)
      190    0.000    0.000    0.000    0.000 ops.py:3043(_check_not_finalized)
       95    0.000    0.000    0.000    0.000 config_lib.py:33(matches)
      185    0.000    0.000    0.000    0.000 ops.py:796(_as_tf_output)
      126    0.000    0.000    0.000    0.000 nest.py:750(assert_shallow_structure)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       20    0.000    0.000    0.000    0.000 ops.py:4557(__enter__)
        9    0.000    0.000    0.006    0.001 gen_nn_ops.py:647(bias_add)
       90    0.000    0.000    0.000    0.000 config_lib.py:50(get_action)
      126    0.000    0.000    0.000    0.000 ops.py:5117(_auto_cast_variable_read_dtype)
      150    0.000    0.000    0.000    0.000 op_def_library.py:80(_IsListValue)
